Name                                              , Status, Thread, Start Timestamp        , End Timestamp          , Duration  , Data
CreatePageTreeTest.CreatePage                     , PASSED, 21    , 2017-11-28T15:33:45.196, 2017-11-28T15:33:45.208, 11.0      , "{""url"":""http://localhost:4502/bin/wcmcommand"",""method"":""POST"",""responseCode"":200,""query"":[{""cmd"":""createPage""},{""parentPath"":""/content/toughday/toughdayb38fe5ec-fbaa-4cff-af99-c55a41d85f6e/toughday_tree_title1/""},{""label"":""toughday_tree_title8""},{""title"":""toughday_tree_title""},{""template"":""/conf/toughday-templates/settings/wcm/templates/toughday-template""}],""bytes"":1834,""latency"":11.0,""user"":""admin""}"
CreatePageTreeTest                                , PASSED, 21    , 2017-11-28T15:33:45.195, 2017-11-28T15:33:45.208, 12.0      , 
CreatePageTreeTest.CreatePage                     , PASSED, 21    , 2017-11-28T15:33:45.514, 2017-11-28T15:33:45.528, 14.0      , "{""url"":""http://localhost:4502/bin/wcmcommand"",""method"":""POST"",""responseCode"":200,""query"":[{""cmd"":""createPage""},{""parentPath"":""/content/toughday/toughdayb38fe5ec-fbaa-4cff-af99-c55a41d85f6e/toughday_tree_title2/""},{""label"":""toughday_tree_title3""},{""title"":""toughday_tree_title""},{""template"":""/conf/toughday-templates/settings/wcm/templates/toughday-template""}],""bytes"":1834,""latency"":14.0,""user"":""admin""}"
CreatePageTreeTest                                , PASSED, 21    , 2017-11-28T15:33:45.513, 2017-11-28T15:33:45.529, 15.0      , 
CreatePageTreeTest.CreatePage                     , PASSED, 22    , 2017-11-28T15:33:44.841, 2017-11-28T15:33:44.869, 27.0      , "{""url"":""http://localhost:4502/bin/wcmcommand"",""method"":""POST"",""responseCode"":200,""query"":[{""cmd"":""createPage""},{""parentPath"":""/content/toughday/toughdayb38fe5ec-fbaa-4cff-af99-c55a41d85f6e/toughday_tree_title1/""},{""label"":""toughday_tree_title2""},{""title"":""toughday_tree_title""},{""template"":""/conf/toughday-templates/settings/wcm/templates/toughday-template""}],""bytes"":1834,""latency"":27.0,""user"":""admin""}"
CreatePageTreeTest                                , PASSED, 22    , 2017-11-28T15:33:44.840, 2017-11-28T15:33:44.869, 28.0      , 
CreatePageTreeTest.CreatePage                     , PASSED, 22    , 2017-11-28T15:33:45.174, 2017-11-28T15:33:45.193, 18.0      , "{""url"":""http://localhost:4502/bin/wcmcommand"",""method"":""POST"",""responseCode"":200,""query"":[{""cmd"":""createPage""},{""parentPath"":""/content/toughday/toughdayb38fe5ec-fbaa-4cff-af99-c55a41d85f6e/toughday_tree_title1/""},{""label"":""toughday_tree_title7""},{""title"":""toughday_tree_title""},{""template"":""/conf/toughday-templates/settings/wcm/templates/toughday-template""}],""bytes"":1834,""latency"":18.0,""user"":""admin""}"
CreatePageTreeTest                                , PASSED, 22    , 2017-11-28T15:33:45.174, 2017-11-28T15:33:45.193, 19.0      , 
CreatePageTreeTest.CreatePage                     , PASSED, 22    , 2017-11-28T15:33:45.497, 2017-11-28T15:33:45.514, 17.0      , "{""url"":""http://localhost:4502/bin/wcmcommand"",""method"":""POST"",""responseCode"":200,""query"":[{""cmd"":""createPage""},{""parentPath"":""/content/toughday/toughdayb38fe5ec-fbaa-4cff-af99-c55a41d85f6e/toughday_tree_title2/""},{""label"":""toughday_tree_title2""},{""title"":""toughday_tree_title""},{""template"":""/conf/toughday-templates/settings/wcm/templates/toughday-template""}],""bytes"":1834,""latency"":17.0,""user"":""admin""}"
CreatePageTreeTest                                , PASSED, 22    , 2017-11-28T15:33:45.496, 2017-11-28T15:33:45.514, 17.0      , 
